hour	Gain (W)
0	355
1	105
2	55
3	55
4	55
5	55
6	55
7	392.5
8	457.5
9	420
10	55
11	55
12	250
13	55
14	120
15	120
16	120
17	120
18	170
19	170
20	615
21	420
22	420
23	442.5
24	355
25	105
26	55
27	55
28	55
29	55
30	55
31	392.5
32	457.5
33	420
34	55
35	55
36	250
37	55
38	120
39	120
40	120
41	120
42	170
43	170
44	615
45	420
46	420
47	442.5
48	355
49	105
50	55
51	55
52	55
53	55
54	55
55	392.5
56	457.5
57	420
58	55
59	55
60	250
61	55
62	120
63	120
64	120
65	120
66	170
67	170
68	615
69	420
70	420
71	442.5
72	355
73	105
74	55
75	55
76	55
77	55
78	55
79	392.5
80	457.5
81	420
82	55
83	55
84	250
85	55
86	120
87	120
88	120
89	120
90	170
91	170
92	615
93	420
94	420
95	442.5
96	355
97	105
98	55
99	55
100	55
101	55
102	55
103	392.5
104	457.5
105	420
106	55
107	55
108	250
109	55
110	120
111	120
112	120
113	120
114	170
115	170
116	615
117	420
118	420
119	442.5
120	355
121	105
122	55
123	55
124	55
125	55
126	55
127	392.5
128	457.5
129	420
130	55
131	55
132	250
133	55
134	120
135	120
136	120
137	120
138	170
139	170
140	615
141	420
142	420
143	442.5
144	355
145	105
146	55
147	55
148	55
149	55
150	55
151	392.5
152	457.5
153	420
154	55
155	55
156	250
157	55
158	120
159	120
160	120
161	120
162	170
163	170
164	615
165	420
166	420
167	442.5
168	355
169	105
170	55
171	55
172	55
173	55
174	55
175	392.5
176	457.5
177	420
178	55
179	55
180	250
181	55
182	120
183	120
184	120
185	120
186	170
187	170
188	615
189	420
190	420
191	442.5
192	355
193	105
194	55
195	55
196	55
197	55
198	55
199	392.5
200	457.5
201	420
202	55
203	55
204	250
205	55
206	120
207	120
208	120
209	120
210	170
211	170
212	615
213	420
214	420
215	442.5
216	355
217	105
218	55
219	55
220	55
221	55
222	55
223	392.5
224	457.5
225	420
226	55
227	55
228	250
229	55
230	120
231	120
232	120
233	120
234	170
235	170
236	615
237	420
238	420
239	442.5
240	355
241	105
242	55
243	55
244	55
245	55
246	55
247	392.5
248	457.5
249	420
250	55
251	55
252	250
253	55
254	120
255	120
256	120
257	120
258	170
259	170
260	615
261	420
262	420
263	442.5
264	355
265	105
266	55
267	55
268	55
269	55
270	55
271	392.5
272	457.5
273	420
274	55
275	55
276	250
277	55
278	120
279	120
280	120
281	120
282	170
283	170
284	615
285	420
286	420
287	442.5
288	355
289	105
290	55
291	55
292	55
293	55
294	55
295	392.5
296	457.5
297	420
298	55
299	55
300	250
301	55
302	120
303	120
304	120
305	120
306	170
307	170
308	615
309	420
310	420
311	442.5
312	355
313	105
314	55
315	55
316	55
317	55
318	55
319	392.5
320	457.5
321	420
322	55
323	55
324	250
325	55
326	120
327	120
328	120
329	120
330	170
331	170
332	615
333	420
334	420
335	442.5
336	355
337	105
338	55
339	55
340	55
341	55
342	55
343	392.5
344	457.5
345	420
346	55
347	55
348	250
349	55
350	120
351	120
352	120
353	120
354	170
355	170
356	615
357	420
358	420
359	442.5
360	355
361	105
362	55
363	55
364	55
365	55
366	55
367	392.5
368	457.5
369	420
370	55
371	55
372	250
373	55
374	120
375	120
376	120
377	120
378	170
379	170
380	615
381	420
382	420
383	442.5
384	355
385	105
386	55
387	55
388	55
389	55
390	55
391	392.5
392	457.5
393	420
394	55
395	55
396	250
397	55
398	120
399	120
400	120
401	120
402	170
403	170
404	615
405	420
406	420
407	442.5
408	355
409	105
410	55
411	55
412	55
413	55
414	55
415	392.5
416	457.5
417	420
418	55
419	55
420	250
421	55
422	120
423	120
424	120
425	120
426	170
427	170
428	615
429	420
430	420
431	442.5
432	355
433	105
434	55
435	55
436	55
437	55
438	55
439	392.5
440	457.5
441	420
442	55
443	55
444	250
445	55
446	120
447	120
448	120
449	120
450	170
451	170
452	615
453	420
454	420
455	442.5
456	355
457	105
458	55
459	55
460	55
461	55
462	55
463	392.5
464	457.5
465	420
466	55
467	55
468	250
469	55
470	120
471	120
472	120
473	120
474	170
475	170
476	615
477	420
478	420
479	442.5
480	355
481	105
482	55
483	55
484	55
485	55
486	55
487	392.5
488	457.5
489	420
490	55
491	55
492	250
493	55
494	120
495	120
496	120
497	120
498	170
499	170
500	615
501	420
502	420
503	442.5
504	355
505	105
506	55
507	55
508	55
509	55
510	55
511	392.5
512	457.5
513	420
514	55
515	55
516	250
517	55
518	120
519	120
520	120
521	120
522	170
523	170
524	615
525	420
526	420
527	442.5
528	355
529	105
530	55
531	55
532	55
533	55
534	55
535	392.5
536	457.5
537	420
538	55
539	55
540	250
541	55
542	120
543	120
544	120
545	120
546	170
547	170
548	615
549	420
550	420
551	442.5
552	355
553	105
554	55
555	55
556	55
557	55
558	55
559	392.5
560	457.5
561	420
562	55
563	55
564	250
565	55
566	120
567	120
568	120
569	120
570	170
571	170
572	615
573	420
574	420
575	442.5
576	355
577	105
578	55
579	55
580	55
581	55
582	55
583	392.5
584	457.5
585	420
586	55
587	55
588	250
589	55
590	120
591	120
592	120
593	120
594	170
595	170
596	615
597	420
598	420
599	442.5
600	355
601	105
602	55
603	55
604	55
605	55
606	55
607	392.5
608	457.5
609	420
610	55
611	55
612	250
613	55
614	120
615	120
616	120
617	120
618	170
619	170
620	615
621	420
622	420
623	442.5
624	355
625	105
626	55
627	55
628	55
629	55
630	55
631	392.5
632	457.5
633	420
634	55
635	55
636	250
637	55
638	120
639	120
640	120
641	120
642	170
643	170
644	615
645	420
646	420
647	442.5
648	355
649	105
650	55
651	55
652	55
653	55
654	55
655	392.5
656	457.5
657	420
658	55
659	55
660	250
661	55
662	120
663	120
664	120
665	120
666	170
667	170
668	615
669	420
670	420
671	442.5
672	355
673	105
674	55
675	55
676	55
677	55
678	55
679	392.5
680	457.5
681	420
682	55
683	55
684	250
685	55
686	120
687	120
688	120
689	120
690	170
691	170
692	615
693	420
694	420
695	442.5
696	355
697	105
698	55
699	55
700	55
701	55
702	55
703	392.5
704	457.5
705	420
706	55
707	55
708	250
709	55
710	120
711	120
712	120
713	120
714	170
715	170
716	615
717	420
718	420
719	442.5
720	355
721	105
722	55
723	55
724	55
725	55
726	55
727	392.5
728	457.5
729	420
730	55
731	55
732	250
733	55
734	120
735	120
736	120
737	120
738	170
739	170
740	615
741	420
742	420
743	442.5
744	355
745	105
746	55
747	55
748	55
749	55
750	55
751	392.5
752	457.5
753	420
754	55
755	55
756	250
757	55
758	120
759	120
760	120
761	120
762	170
763	170
764	615
765	420
766	420
767	442.5
768	355
769	105
770	55
771	55
772	55
773	55
774	55
775	392.5
776	457.5
777	420
778	55
779	55
780	250
781	55
782	120
783	120
784	120
785	120
786	170
787	170
788	615
789	420
790	420
791	442.5
792	355
793	105
794	55
795	55
796	55
797	55
798	55
799	392.5
800	457.5
801	420
802	55
803	55
804	250
805	55
806	120
807	120
808	120
809	120
810	170
811	170
812	615
813	420
814	420
815	442.5
816	355
817	105
818	55
819	55
820	55
821	55
822	55
823	392.5
824	457.5
825	420
826	55
827	55
828	250
829	55
830	120
831	120
832	120
833	120
834	170
835	170
836	615
837	420
838	420
839	442.5
840	355
841	105
842	55
843	55
844	55
845	55
846	55
847	392.5
848	457.5
849	420
850	55
851	55
852	250
853	55
854	120
855	120
856	120
857	120
858	170
859	170
860	615
861	420
862	420
863	442.5
864	355
865	105
866	55
867	55
868	55
869	55
870	55
871	392.5
872	457.5
873	420
874	55
875	55
876	250
877	55
878	120
879	120
880	120
881	120
882	170
883	170
884	615
885	420
886	420
887	442.5
888	355
889	105
890	55
891	55
892	55
893	55
894	55
895	392.5
896	457.5
897	420
898	55
899	55
900	250
901	55
902	120
903	120
904	120
905	120
906	170
907	170
908	615
909	420
910	420
911	442.5
912	355
913	105
914	55
915	55
916	55
917	55
918	55
919	392.5
920	457.5
921	420
922	55
923	55
924	250
925	55
926	120
927	120
928	120
929	120
930	170
931	170
932	615
933	420
934	420
935	442.5
936	355
937	105
938	55
939	55
940	55
941	55
942	55
943	392.5
944	457.5
945	420
946	55
947	55
948	250
949	55
950	120
951	120
952	120
953	120
954	170
955	170
956	615
957	420
958	420
959	442.5
960	355
961	105
962	55
963	55
964	55
965	55
966	55
967	392.5
968	457.5
969	420
970	55
971	55
972	250
973	55
974	120
975	120
976	120
977	120
978	170
979	170
980	615
981	420
982	420
983	442.5
984	355
985	105
986	55
987	55
988	55
989	55
990	55
991	392.5
992	457.5
993	420
994	55
995	55
996	250
997	55
998	120
999	120
1000	120
1001	120
1002	170
1003	170
1004	615
1005	420
1006	420
1007	442.5
1008	355
1009	105
1010	55
1011	55
1012	55
1013	55
1014	55
1015	392.5
1016	457.5
1017	420
1018	55
1019	55
1020	250
1021	55
1022	120
1023	120
1024	120
1025	120
1026	170
1027	170
1028	615
1029	420
1030	420
1031	442.5
1032	355
1033	105
1034	55
1035	55
1036	55
1037	55
1038	55
1039	392.5
1040	457.5
1041	420
