Hour	Tamb	tAmbDry	relHum	vWind	dirWind	pAmb_Pa	AISZ	AISA	IT_H	IB_H	ID_H	AI_H	IT_N	AI_N	IB_N	IT_S	IB_S	ID_S	AI_S	IT_E	IB_E	ID_E	AI_E	IT_W	IB_W	ID_W	AI_W	IT_surfUser_1	IB_surfUser_1	ID_surfUser_1	IDS_surfUser_1	IDG_surfUser_1	AI_surfUser_1	IT_surfUser_2	IB_surfUser_2	ID_surfUser_2	IDS_surfUser_2	IDG_surfUser_2	AI_surfUser_2	day	bool2	oldDayTemp	hour	bool	weight	TambSmooth
3600	7.812475681	7.812475681	0.85663475	0	0	95490.16406	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0	4.622097015
3601	7.78714323	7.78714323	0.857365189	0	0	95489.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.008333333	4.648472401
3602	7.760045052	7.760045052	0.858095703	0	0	95488.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.016666667	4.674396149
3603	7.731216908	7.731216908	0.858826141	0	0	95487.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.025	4.699825013
3604	7.699882507	7.699882507	0.859578094	0	0	95486.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.033333333	4.724689865
3605	7.667976856	7.667976856	0.860308533	0	0	95485.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.041666667	4.749008675
3606	7.634767532	7.634767532	0.861039047	0	0	95484.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.05	4.772730541
3607	7.600395203	7.600395203	0.861769485	0	0	95483.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.058333333	4.795831076
3608	7.565000057	7.565000057	0.8625	0	0	95482.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.066666667	4.818290552
3609	7.52872324	7.52872324	0.863230438	0	0	95481.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.075	4.840093982
3610	7.491704941	7.491704941	0.863960953	0	0	95480.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.083333333	4.861231009
3611	7.454085827	7.454085827	0.864691391	0	0	95479.51563	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.091666667	4.88169599
3612	7.414880753	7.414880753	0.865443344	0	0	95478.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.1	4.901375389
3613	7.37647438	7.37647438	0.866173782	0	0	95477.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.108333333	4.920487897
3614	7.337893009	7.337893009	0.866904297	0	0	95476.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.116666667	4.938939881
3615	7.299277306	7.299277306	0.867634735	0	0	95475.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.125	4.956744552
3616	7.26076746	7.26076746	0.86836525	0	0	95474.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.133333333	4.973919741
3617	7.222504139	7.222504139	0.869095688	0	0	95473.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.141666667	4.990488025
3618	7.184628487	7.184628487	0.869826202	0	0	95472.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.15	5.006476736
3619	7.14619112	7.14619112	0.870578156	0	0	95471.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.158333333	5.021745249
3620	7.10953331	7.10953331	0.871308594	0	0	95470.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.166666667	5.036669731
3621	7.073688507	7.073688507	0.872039032	0	0	95469.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.175	5.051125526
3622	7.038797379	7.038797379	0.872769547	0	0	95468.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.183333333	5.065158749
3623	7.005000114	7.005000114	0.873499985	0	0	95467.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.191666667	5.078820109
3624	6.972437859	6.972437859	0.874230499	0	0	95466.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.2	5.092165184
3625	6.941250801	6.941250801	0.874960938	0	0	95465.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.208333333	5.105254054
3626	6.911579609	6.911579609	0.875691452	0	0	95464.51563	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.216666667	5.118151577
3627	6.882767677	6.882767677	0.876443405	0	0	95463.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.225	5.130747914
3628	6.856604576	6.856604576	0.877173843	0	0	95462.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.233333333	5.143482113
3629	6.832383633	6.832383633	0.877904282	0	0	95461.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	0	1	0.241666667	5.156249615
3630	6.81024456	6.81024456	0.878634796	0	0	95460.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.25	5.169133902
3631	6.790123463	6.790123463	0.879182663	0	0	95459.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.258333333	5.182170514
3632	6.770867348	6.770867348	0.879547882	0	0	95458.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.266666667	5.195102437
3633	6.752254009	6.752254009	0.879913101	0	0	95457.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.275	5.207890189
3634	6.733739853	6.733739853	0.880289078	0	0	95456.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.283333333	5.220395819
3635	6.716358662	6.716358662	0.880654297	0	0	95455.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.291666667	5.232923329
3636	6.699548721	6.699548721	0.881019516	0	0	95454.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.3	5.245332527
3637	6.683286667	6.683286667	0.881384811	0	0	95453.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.308333333	5.257630491
3638	6.66754818	6.66754818	0.881750031	0	0	95452.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.316666667	5.269823217
3639	6.652310371	6.652310371	0.88211525	0	0	95451.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.325	5.281916356
3640	6.637548923	6.637548923	0.882480469	0	0	95450.50781	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.333333333	5.293914318
3641	6.623240948	6.623240948	0.882845688	0	0	95449.51563	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.341666667	5.305821192
3642	6.608960152	6.608960152	0.883221664	0	0	95448.48438	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.35	5.317499113
3643	6.595498562	6.595498562	0.88358696	0	0	95447.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.358333333	5.32923257
3644	6.582418442	6.582418442	0.883952179	0	0	95446.49219	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.366666667	5.340881538
3645	6.56969595	6.56969595	0.884317398	0	0	95445.5	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4.622097015	1	1	0.375	5.352446616
