hour	Nr.Pers
0	4
1	4
2	4
3	4
4	4
5	4
6	4
7	2
8	3
9	2
10	0
11	0
12	1
13	3
14	2
15	1
16	0
17	0
18	1
19	2
20	2
21	4
22	3
23	4
24	4
25	4
26	4
27	4
28	4
29	4
30	4
31	2
32	3
33	2
34	0
35	0
36	1
37	3
38	2
39	1
40	0
41	0
42	1
43	2
44	2
45	4
46	3
47	4
48	4
49	4
50	4
51	4
52	4
53	4
54	4
55	2
56	3
57	2
58	0
59	0
60	1
61	3
62	2
63	1
64	0
65	0
66	1
67	2
68	2
69	4
70	3
71	4
72	4
73	4
74	4
75	4
76	4
77	4
78	4
79	2
80	3
81	2
82	0
83	0
84	1
85	3
86	2
87	1
88	0
89	0
90	1
91	2
92	2
93	4
94	3
95	4
96	4
97	4
98	4
99	4
100	4
101	4
102	4
103	2
104	3
105	2
106	0
107	0
108	1
109	3
110	2
111	1
112	0
113	0
114	1
115	2
116	2
117	4
118	3
119	4
120	4
121	4
122	4
123	4
124	4
125	4
126	4
127	2
128	3
129	2
130	0
131	0
132	1
133	3
134	2
135	1
136	0
137	0
138	1
139	2
140	2
141	4
142	3
143	4
144	4
145	4
146	4
147	4
148	4
149	4
150	4
151	2
152	3
153	2
154	0
155	0
156	1
157	3
158	2
159	1
160	0
161	0
162	1
163	2
164	2
165	4
166	3
167	4
168	4
169	4
170	4
171	4
172	4
173	4
174	4
175	2
176	3
177	2
178	0
179	0
180	1
181	3
182	2
183	1
184	0
185	0
186	1
187	2
188	2
189	4
190	3
191	4
192	4
193	4
194	4
195	4
196	4
197	4
198	4
199	2
200	3
201	2
202	0
203	0
204	1
205	3
206	2
207	1
208	0
209	0
210	1
211	2
212	2
213	4
214	3
215	4
216	4
217	4
218	4
219	4
220	4
221	4
222	4
223	2
224	3
225	2
226	0
227	0
228	1
229	3
230	2
231	1
232	0
233	0
234	1
235	2
236	2
237	4
238	3
239	4
240	4
241	4
242	4
243	4
244	4
245	4
246	4
247	2
248	3
249	2
250	0
251	0
252	1
253	3
254	2
255	1
256	0
257	0
258	1
259	2
260	2
261	4
262	3
263	4
264	4
265	4
266	4
267	4
268	4
269	4
270	4
271	2
272	3
273	2
274	0
275	0
276	1
277	3
278	2
279	1
280	0
281	0
282	1
283	2
284	2
285	4
286	3
287	4
288	4
289	4
290	4
291	4
292	4
293	4
294	4
295	2
296	3
297	2
298	0
299	0
300	1
301	3
302	2
303	1
304	0
305	0
306	1
307	2
308	2
309	4
310	3
311	4
312	4
313	4
314	4
315	4
316	4
317	4
318	4
319	2
320	3
321	2
322	0
323	0
324	1
325	3
326	2
327	1
328	0
329	0
330	1
331	2
332	2
333	4
334	3
335	4
336	4
337	4
338	4
339	4
340	4
341	4
342	4
343	2
344	3
345	2
346	0
347	0
348	1
349	3
350	2
351	1
352	0
353	0
354	1
355	2
356	2
357	4
358	3
359	4
360	4
361	4
362	4
363	4
364	4
365	4
366	4
367	2
368	3
369	2
370	0
371	0
372	1
373	3
374	2
375	1
376	0
377	0
378	1
379	2
380	2
381	4
382	3
383	4
384	4
385	4
386	4
387	4
388	4
389	4
390	4
391	2
392	3
393	2
394	0
395	0
396	1
397	3
398	2
399	1
400	0
401	0
402	1
403	2
404	2
405	4
406	3
407	4
408	4
409	4
410	4
411	4
412	4
413	4
414	4
415	2
416	3
417	2
418	0
419	0
420	1
421	3
422	2
423	1
424	0
425	0
426	1
427	2
428	2
429	4
430	3
431	4
432	4
433	4
434	4
435	4
436	4
437	4
438	4
439	2
440	3
441	2
442	0
443	0
444	1
445	3
446	2
447	1
448	0
449	0
450	1
451	2
452	2
453	4
454	3
455	4
456	4
457	4
458	4
459	4
460	4
461	4
462	4
463	2
464	3
465	2
466	0
467	0
468	1
469	3
470	2
471	1
472	0
473	0
474	1
475	2
476	2
477	4
478	3
479	4
480	4
481	4
482	4
483	4
484	4
485	4
486	4
487	2
488	3
489	2
490	0
491	0
492	1
493	3
494	2
495	1
496	0
497	0
498	1
499	2
500	2
501	4
502	3
503	4
504	4
505	4
506	4
507	4
508	4
509	4
510	4
511	2
512	3
513	2
514	0
515	0
516	1
517	3
518	2
519	1
520	0
521	0
522	1
523	2
524	2
525	4
526	3
527	4
528	4
529	4
530	4
531	4
532	4
533	4
534	4
535	2
536	3
537	2
538	0
539	0
540	1
541	3
542	2
543	1
544	0
545	0
546	1
547	2
548	2
549	4
550	3
551	4
552	4
553	4
554	4
555	4
556	4
557	4
558	4
559	2
560	3
561	2
562	0
563	0
564	1
565	3
566	2
567	1
568	0
569	0
570	1
571	2
572	2
573	4
574	3
575	4
576	4
577	4
578	4
579	4
580	4
581	4
582	4
583	2
584	3
585	2
586	0
587	0
588	1
589	3
590	2
591	1
592	0
593	0
594	1
595	2
596	2
597	4
598	3
599	4
600	4
601	4
602	4
603	4
604	4
605	4
606	4
607	2
608	3
609	2
610	0
611	0
612	1
613	3
614	2
615	1
616	0
617	0
618	1
619	2
620	2
621	4
622	3
623	4
624	4
625	4
626	4
627	4
628	4
629	4
630	4
631	2
632	3
633	2
634	0
635	0
636	1
637	3
638	2
639	1
640	0
641	0
642	1
643	2
644	2
645	4
646	3
647	4
648	4
649	4
650	4
651	4
652	4
653	4
654	4
655	2
656	3
657	2
658	0
659	0
660	1
661	3
662	2
663	1
664	0
665	0
666	1
667	2
668	2
669	4
670	3
671	4
672	4
673	4
674	4
675	4
676	4
677	4
678	4
679	2
680	3
681	2
682	0
683	0
684	1
685	3
686	2
687	1
688	0
689	0
690	1
691	2
692	2
693	4
694	3
695	4
696	4
697	4
698	4
699	4
700	4
701	4
702	4
703	2
704	3
705	2
706	0
707	0
708	1
709	3
710	2
711	1
712	0
713	0
714	1
715	2
716	2
717	4
718	3
719	4
720	4
721	4
722	4
723	4
724	4
725	4
726	4
727	2
728	3
729	2
730	0
731	0
732	1
733	3
734	2
735	1
736	0
737	0
738	1
739	2
740	2
741	4
742	3
743	4
744	4
745	4
746	4
747	4
748	4
749	4
750	4
751	2
752	3
753	2
754	0
755	0
756	1
757	3
758	2
759	1
760	0
761	0
762	1
763	2
764	2
765	4
766	3
767	4
768	4
769	4
770	4
771	4
772	4
773	4
774	4
775	2
776	3
777	2
778	0
779	0
780	1
781	3
782	2
783	1
784	0
785	0
786	1
787	2
788	2
789	4
790	3
791	4
792	4
793	4
794	4
795	4
796	4
797	4
798	4
799	2
800	3
801	2
802	0
803	0
804	1
805	3
806	2
807	1
808	0
809	0
810	1
811	2
812	2
813	4
814	3
815	4
816	4
817	4
818	4
819	4
820	4
821	4
822	4
823	2
824	3
825	2
826	0
827	0
828	1
829	3
830	2
831	1
832	0
833	0
834	1
835	2
836	2
837	4
838	3
839	4
840	4
841	4
842	4
843	4
844	4
845	4
846	4
847	2
848	3
849	2
850	0
851	0
852	1
853	3
854	2
855	1
856	0
857	0
858	1
859	2
860	2
861	4
862	3
863	4
864	4
865	4
866	4
867	4
868	4
869	4
870	4
871	2
872	3
873	2
874	0
875	0
876	1
877	3
878	2
879	1
880	0
881	0
882	1
883	2
884	2
885	4
886	3
887	4
888	4
889	4
890	4
891	4
892	4
893	4
894	4
895	2
896	3
897	2
898	0
899	0
900	1
901	3
902	2
903	1
904	0
905	0
906	1
907	2
908	2
909	4
910	3
911	4
912	4
913	4
914	4
915	4
916	4
917	4
918	4
919	2
920	3
921	2
922	0
923	0
924	1
925	3
926	2
927	1
928	0
929	0
930	1
931	2
932	2
933	4
934	3
935	4
936	4
937	4
938	4
939	4
940	4
941	4
942	4
943	2
944	3
945	2
946	0
947	0
948	1
949	3
950	2
951	1
952	0
953	0
954	1
955	2
956	2
957	4
958	3
959	4
960	4
961	4
962	4
963	4
964	4
965	4
966	4
967	2
968	3
969	2
970	0
971	0
972	1
973	3
974	2
975	1
976	0
977	0
978	1
979	2
980	2
981	4
982	3
983	4
984	4
985	4
986	4
987	4
988	4
989	4
990	4
991	2
992	3
993	2
994	0
995	0
996	1
997	3
998	2
999	1
1000	0
1001	0
1002	1
1003	2
1004	2
1005	4
1006	3
1007	4
1008	4
1009	4
1010	4
1011	4
1012	4
1013	4
1014	4
1015	2
1016	3
1017	2
1018	0
1019	0
1020	1
1021	3
1022	2
1023	1
1024	0
1025	0
1026	1
1027	2
1028	2
1029	4
1030	3
1031	4
1032	4
1033	4
1034	4
1035	4
1036	4
1037	4
1038	4
1039	2
1040	3
1041	2
1042	0
1043	0
1044	1
1045	3
1046	2
1047	1
1048	0
1049	0
1050	1
1051	2
1052	2
1053	4
1054	3
1055	4
1056	4
1057	4
1058	4
1059	4
1060	4
1061	4
1062	4
1063	2
1064	3
1065	2
1066	0
1067	0
1068	1
1069	3
1070	2
1071	1
1072	0
1073	0
1074	1
1075	2
1076	2
1077	4
1078	3
1079	4
1080	4
1081	4
1082	4
1083	4
1084	4
1085	4
1086	4
1087	2
1088	3
1089	2
1090	0
1091	0
1092	1
1093	3
1094	2
1095	1
1096	0
1097	0
1098	1
1099	2
1100	2
1101	4
1102	3
1103	4
1104	4
1105	4
1106	4
1107	4
1108	4
1109	4
1110	4
1111	2
1112	3
1113	2
1114	0
1115	0
1116	1
1117	3
1118	2
1119	1
1120	0
1121	0
1122	1
1123	2
1124	2
1125	4
1126	3
1127	4
1128	4
1129	4
1130	4
1131	4
1132	4
1133	4
1134	4
1135	2
1136	3
1137	2
1138	0
1139	0
1140	1
1141	3
1142	2
1143	1
1144	0
1145	0
1146	1
1147	2
1148	2
1149	4
1150	3
1151	4
1152	4
1153	4
1154	4
1155	4
1156	4
1157	4
1158	4
1159	2
1160	3
1161	2
1162	0
1163	0
1164	1
1165	3
1166	2
1167	1
1168	0
1169	0
1170	1
1171	2
1172	2
1173	4
1174	3
1175	4
1176	4
1177	4
1178	4
1179	4
1180	4
1181	4
1182	4
1183	2
1184	3
1185	2
1186	0
1187	0
1188	1
1189	3
1190	2
1191	1
1192	0
1193	0
1194	1
1195	2
1196	2
1197	4
1198	3
1199	4
1200	4
1201	4
1202	4
1203	4
1204	4
1205	4
1206	4
1207	2
1208	3
1209	2
1210	0
1211	0
1212	1
1213	3
1214	2
1215	1
1216	0
1217	0
1218	1
1219	2
1220	2
1221	4
1222	3
1223	4
1224	4
1225	4
1226	4
