Hour	Devices Faktor	Persons Faktor	Light Faktor
1	0	1	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	1	0
7	0.2	1	0
8	0.3	0.8	0
9	0.3	0.5	0
10	0.1	0.3	0
11	0.1	0.3	0
12	0.3	0.3	0
13	0.1	0.3	0
14	0.1	0.5	0
15	0	0.6	0
16	0.2	0.7	0
17	0.3	0.7	0
18	0.2	0.7	0
19	0.3	0.7	0
20	0.4	0.9	0
21	0.3	0.8	0
22	0.2	0.8	0
23	0.1	0.9	0
24	0	1	0
25	0	1	0
26	0	1	0
27	0	1	0
28	0	1	0
29	0	1	0
30	0	1	0
31	0.2	1	0
32	0.3	0.8	0
33	0.3	0.5	0
34	0.1	0.3	0
35	0.1	0.3	0
36	0.3	0.3	0
37	0.1	0.3	0
38	0.1	0.5	0
39	0	0.6	0
40	0.2	0.7	0
41	0.3	0.7	0
42	0.2	0.7	0
43	0.3	0.7	0
44	0.4	0.9	0
45	0.3	0.8	0
46	0.2	0.8	0
47	0.1	0.9	0
48	0	1	0
49	0	1	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	1	0
54	0	1	0
55	0.2	1	0
56	0.3	0.8	0
57	0.3	0.5	0
58	0.1	0.3	0
59	0.1	0.3	0
60	0.3	0.3	0
61	0.1	0.3	0
62	0.1	0.5	0
63	0	0.6	0
64	0.2	0.7	0
65	0.3	0.7	0
66	0.2	0.7	0
67	0.3	0.7	0
68	0.4	0.9	0
69	0.3	0.8	0
70	0.2	0.8	0
71	0.1	0.9	0
72	0	1	0
73	0	1	0
74	0	1	0
75	0	1	0
76	0	1	0
77	0	1	0
78	0	1	0
79	0.2	1	0
80	0.3	0.8	0
81	0.3	0.5	0
82	0.1	0.3	0
83	0.1	0.3	0
84	0.3	0.3	0
85	0.1	0.3	0
86	0.1	0.5	0
87	0	0.6	0
88	0.2	0.7	0
89	0.3	0.7	0
90	0.2	0.7	0
91	0.3	0.7	0
92	0.4	0.9	0
93	0.3	0.8	0
94	0.2	0.8	0
95	0.1	0.9	0
96	0	1	0
97	0	1	0
98	0	1	0
99	0	1	0
100	0	1	0
101	0	1	0
102	0	1	0
103	0.2	1	0
104	0.3	0.8	0
105	0.3	0.5	0
106	0.1	0.3	0
107	0.1	0.3	0
108	0.3	0.3	0
109	0.1	0.3	0
110	0.1	0.5	0
111	0	0.6	0
112	0.2	0.7	0
113	0.3	0.7	0
114	0.2	0.7	0
115	0.3	0.7	0
116	0.4	0.9	0
117	0.3	0.8	0
118	0.2	0.8	0
119	0.1	0.9	0
120	0	1	0
121	0	0.9	0
122	0	1	0
123	0	1	0
124	0	1	0
125	0	1	0
126	0	1	0
127	0.1	1	0
128	0.2	1	0
129	0.3	0.9	0
130	0.5	0.9	0
131	0.4	0.8	0
132	0.4	0.8	0
133	0.3	0.8	0
134	0.2	0.8	0
135	0	0.8	0
136	0	0.7	0
137	0.1	0.7	0
138	0.1	0.7	0
139	0.3	0.8	0
140	0.4	0.9	0
141	0.3	0.9	0
142	0.2	0.9	0
143	0.2	0.9	0
144	0	0.9	0
145	0	0.9	0
146	0	1	0
147	0	1	0
148	0	1	0
149	0	1	0
150	0	1	0
151	0.1	1	0
152	0.2	1	0
153	0.3	0.9	0
154	0.5	0.9	0
155	0.4	0.8	0
156	0.4	0.8	0
157	0.3	0.8	0
158	0.2	0.8	0
159	0	0.8	0
160	0	0.7	0
161	0.1	0.7	0
162	0.1	0.7	0
163	0.3	0.8	0
164	0.4	0.9	0
165	0.3	0.9	0
166	0.2	0.9	0
167	0.2	0.9	0
168	0	0.9	0
169	0	1	0
170	0	1	0
171	0	1	0
172	0	1	0
173	0	1	0
174	0	1	0
175	0.2	1	0
176	0.3	0.8	0
177	0.3	0.5	0
178	0.1	0.3	0
179	0.1	0.3	0
180	0.3	0.3	0
181	0.1	0.3	0
182	0.1	0.5	0
183	0	0.6	0
184	0.2	0.7	0
185	0.3	0.7	0
186	0.2	0.7	0
187	0.3	0.7	0
188	0.4	0.9	0
189	0.3	0.8	0
190	0.2	0.8	0
191	0.1	0.9	0
192	0	1	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0	1	0
197	0	1	0
198	0	1	0
199	0.2	1	0
200	0.3	0.8	0
201	0.3	0.5	0
202	0.1	0.3	0
203	0.1	0.3	0
204	0.3	0.3	0
205	0.1	0.3	0
206	0.1	0.5	0
207	0	0.6	0
208	0.2	0.7	0
209	0.3	0.7	0
210	0.2	0.7	0
211	0.3	0.7	0
212	0.4	0.9	0
213	0.3	0.8	0
214	0.2	0.8	0
215	0.1	0.9	0
216	0	1	0
217	0	1	0
218	0	1	0
219	0	1	0
220	0	1	0
221	0	1	0
222	0	1	0
223	0.2	1	0
224	0.3	0.8	0
225	0.3	0.5	0
226	0.1	0.3	0
227	0.1	0.3	0
228	0.3	0.3	0
229	0.1	0.3	0
230	0.1	0.5	0
231	0	0.6	0
232	0.2	0.7	0
233	0.3	0.7	0
234	0.2	0.7	0
235	0.3	0.7	0
236	0.4	0.9	0
237	0.3	0.8	0
238	0.2	0.8	0
