hour	hourOfYear	kWh	kg/h	Tset	l/min
0	0	0	0	55	0
0.033333	0.033333	0	0	55	0
0.066667	0.066667	0	0	55	0
0.1	0.1	0	0	55	0
0.133333	0.133333	0	0	55	0
0.166667	0.166667	0	0	55	0
0.2	0.2	0	0	55	0
0.233333	0.233333	0	0	55	0
0.266667	0.266667	0	0	55	0
0.3	0.3	0	0	55	0
0.333333	0.333333	0	0	55	0
0.366667	0.366667	0	0	55	0
0.4	0.4	0	0	55	0
0.433333	0.433333	0	0	55	0
0.466667	0.466667	0	0	55	0
0.5	0.5	0	0	55	0
0.533333	0.533333	0	0	55	0
0.566667	0.566667	0	0	55	0
0.6	0.6	0	0	55	0
0.633333	0.633333	0	0	55	0
0.666667	0.666667	0	0	55	0
0.7	0.7	0	0	55	0
0.733333	0.733333	0	0	55	0
0.766667	0.766667	0	0	55	0
0.8	0.8	0	0	55	0
0.833333	0.833333	0	0	55	0
0.866667	0.866667	0	0	55	0
0.9	0.9	0	0	55	0
0.933333	0.933333	0	0	55	0
0.966667	0.966667	0	0	55	0
1	1	0	0	55	0
1.033333	1.033333	0	0	55	0
1.066667	1.066667	0	0	55	0
1.1	1.1	0	0	55	0
1.133333	1.133333	0	0	55	0
1.166667	1.166667	0	0	55	0
1.2	1.2	0	0	55	0
1.233333	1.233333	0	0	55	0
1.266667	1.266667	0	0	55	0
1.3	1.3	0	0	55	0
1.333333	1.333333	0	0	55	0
1.366667	1.366667	0	0	55	0
1.4	1.4	0	0	55	0
1.433333	1.433333	0	0	55	0
1.466667	1.466667	0	0	55	0
1.5	1.5	0	0	55	0
1.533333	1.533333	0	0	55	0
1.566667	1.566667	0	0	55	0
1.6	1.6	0	0	55	0
1.633333	1.633333	0	0	55	0
1.666667	1.666667	0	0	55	0
1.7	1.7	0	0	55	0
1.733333	1.733333	0	0	55	0
1.766667	1.766667	0	0	55	0
1.8	1.8	0	0	55	0
1.833333	1.833333	0	0	55	0
1.866667	1.866667	0	0	55	0
1.9	1.9	0	0	55	0
1.933333	1.933333	0	0	55	0
1.966667	1.966667	0	0	55	0
2	2	0	0	55	0
2.033333	2.033333	0	0	55	0
2.066667	2.066667	0	0	55	0
2.1	2.1	0	0	55	0
2.133333	2.133333	0	0	55	0
2.166667	2.166667	0	0	55	0
2.2	2.2	0	0	55	0
2.233333	2.233333	0	0	55	0
2.266667	2.266667	0	0	55	0
2.3	2.3	0	0	55	0
2.333333	2.333333	0	0	55	0
2.366667	2.366667	0	0	55	0
2.4	2.4	0	0	55	0
2.433333	2.433333	0	0	55	0
2.466667	2.466667	0	0	55	0
2.5	2.5	0	0	55	0
2.533333	2.533333	0	0	55	0
2.566667	2.566667	0	0	55	0
2.6	2.6	0	0	55	0
2.633333	2.633333	0	0	55	0
2.666667	2.666667	0	0	55	0
2.7	2.7	0	0	55	0
2.733333	2.733333	0	0	55	0
2.766667	2.766667	0	0	55	0
2.8	2.8	0	0	55	0
2.833333	2.833333	0	0	55	0
2.866667	2.866667	0	0	55	0
2.9	2.9	0	0	55	0
2.933333	2.933333	0	0	55	0
2.966667	2.966667	0	0	55	0
3	3	0	0	55	0
3.033333	3.033333	0	0	55	0
3.066667	3.066667	0	0	55	0
3.1	3.1	0	0	55	0
3.133333	3.133333	0	0	55	0
3.166667	3.166667	0	0	55	0
3.2	3.2	0	0	55	0
3.233333	3.233333	0	0	55	0
3.266667	3.266667	0	0	55	0
3.3	3.3	0	0	55	0
3.333333	3.333333	0	0	55	0
3.366667	3.366667	0	0	55	0
3.4	3.4	0	0	55	0
3.433333	3.433333	0	0	55	0
3.466667	3.466667	0	0	55	0
3.5	3.5	0	0	55	0
3.533333	3.533333	0	0	55	0
3.566667	3.566667	0	0	55	0
3.6	3.6	0	0	55	0
3.633333	3.633333	0	0	55	0
3.666667	3.666667	0	0	55	0
3.7	3.7	0	0	55	0
3.733333	3.733333	0	0	55	0
3.766667	3.766667	0	0	55	0
3.8	3.8	0	0	55	0
3.833333	3.833333	0	0	55	0
3.866667	3.866667	0	0	55	0
3.9	3.9	0	0	55	0
3.933333	3.933333	0	0	55	0
